customer_id,first_purchase_date,acquisition_channel,loyalty_tier,primary_region
C00001,2025-01-22,Loyalty,Silver,Southeast
C00002,2024-06-23,Loyalty,None,Northeast
C00003,2024-12-28,Search,None,Northeast
C00004,2024-06-20,Email,None,Southeast
C00005,2025-03-02,Paid Social,Gold,Southeast
C00006,2024-10-16,Search,None,Southeast
C00007,2025-02-21,Search,Silver,Southeast
C00008,2024-06-19,Organic,Silver,Northeast
C00009,2024-04-17,Email,Silver,Midwest
C00010,2025-01-04,Email,None,West
C00011,2024-11-30,Loyalty,Gold,Northeast
C00012,2024-12-08,Email,Silver,Southeast
C00013,2025-02-24,Loyalty,Member,Midwest
C00014,2024-04-10,Organic,None,West
C00015,2024-07-21,Search,Silver,Southeast
C00016,2024-09-06,Email,Silver,Northeast
C00017,2025-01-06,Paid Social,Member,Southeast
C00018,2024-10-23,Email,Member,Midwest
C00019,2025-05-06,Paid Social,None,Southeast
C00020,2025-04-25,Loyalty,Silver,West
C00021,2024-07-16,Loyalty,Silver,Southeast
C00022,2025-01-30,Search,Gold,Southeast
C00023,2024-07-14,Loyalty,Silver,West
C00024,2025-06-03,Search,Silver,Southeast
C00025,2024-05-10,Search,None,Northeast
C00026,2025-05-15,Loyalty,Member,West
C00027,2024-12-31,Loyalty,Gold,West
C00028,2024-11-26,Email,None,Northeast
C00029,2025-02-13,Organic,Silver,Midwest
C00030,2024-04-27,Email,Member,West
C00031,2024-03-02,Organic,Silver,Southeast
C00032,2024-11-15,Organic,Silver,Southeast
C00033,2024-05-18,Email,Member,Northeast
C00034,2025-01-01,Email,None,Northeast
C00035,2025-06-19,Email,Silver,Southeast
C00036,2024-03-30,Email,None,Northeast
C00037,2025-03-10,Search,None,Southeast
C00038,2024-05-05,Paid Social,Member,Midwest
C00039,2024-11-26,Organic,Gold,Southeast
C00040,2025-06-19,Search,Member,Midwest
C00041,2024-09-21,Organic,Silver,West
C00042,2025-06-04,Search,None,Southeast
C00043,2024-06-24,Loyalty,None,Southeast
C00044,2024-12-27,Email,None,Northeast
C00045,2024-06-26,Loyalty,None,Midwest
C00046,2024-04-06,Search,Silver,West
C00047,2024-06-18,Search,Gold,Southeast
C00048,2025-04-06,Search,Gold,Southeast
C00049,2024-04-18,Loyalty,Gold,Midwest
C00050,2024-10-03,Email,None,Northeast
C00051,2024-04-01,Email,Silver,Northeast
C00052,2024-07-06,Loyalty,Gold,Southeast
C00053,2024-10-03,Loyalty,Gold,Southeast
C00054,2025-05-22,Organic,Gold,Northeast
C00055,2024-03-26,Paid Social,None,Northeast
C00056,2025-06-18,Paid Social,Member,Southeast
C00057,2024-09-25,Search,Member,West
C00058,2025-06-06,Loyalty,Gold,Northeast
C00059,2024-09-16,Email,Gold,Midwest
C00060,2024-10-03,Paid Social,Gold,Southeast
C00061,2024-06-06,Email,None,Northeast
C00062,2025-03-18,Email,None,West
C00063,2024-11-13,Organic,Member,Northeast
C00064,2025-07-05,Search,Member,Northeast
C00065,2024-12-30,Loyalty,Member,West
C00066,2024-05-01,Organic,Member,Northeast
C00067,2025-01-12,Loyalty,Silver,Midwest
C00068,2024-06-13,Paid Social,Silver,Southeast
C00069,2024-07-14,Email,Silver,West
C00070,2024-08-09,Organic,None,Northeast
C00071,2024-10-21,Paid Social,None,Northeast
C00072,2024-12-01,Loyalty,Silver,Southeast
C00073,2025-06-21,Email,None,Southeast
C00074,2024-09-06,Email,Gold,Midwest
C00075,2025-01-08,Organic,None,Midwest
C00076,2025-06-21,Paid Social,Member,Midwest
C00077,2024-04-29,Organic,Member,Midwest
C00078,2024-07-23,Paid Social,Silver,Southeast
C00079,2025-02-15,Paid Social,Silver,West
C00080,2024-07-07,Organic,None,Northeast
C00081,2025-01-19,Search,Silver,Northeast
C00082,2024-03-02,Email,Member,Midwest
C00083,2024-05-22,Paid Social,Gold,Northeast
C00084,2024-04-27,Loyalty,Member,Northeast
C00085,2025-05-02,Email,Member,West
C00086,2024-05-05,Loyalty,Silver,Northeast
C00087,2025-06-04,Email,Member,Northeast
C00088,2024-08-29,Paid Social,Gold,Southeast
C00089,2025-06-17,Organic,Member,Southeast
C00090,2025-05-26,Email,Member,Midwest
C00091,2025-04-05,Organic,Member,Midwest
C00092,2024-05-21,Paid Social,None,West
C00093,2025-05-21,Loyalty,Gold,Southeast
C00094,2024-06-11,Paid Social,Gold,Midwest
C00095,2024-08-04,Paid Social,Member,Southeast
C00096,2024-03-13,Paid Social,Gold,Midwest
C00097,2024-07-21,Organic,Silver,Midwest
C00098,2025-01-23,Search,Silver,Northeast
C00099,2024-04-29,Organic,Silver,Southeast
C00100,2024-12-23,Organic,Silver,Northeast
C00101,2024-04-25,Search,Silver,Midwest
C00102,2024-10-10,Paid Social,None,West
C00103,2025-06-04,Search,Silver,Northeast
C00104,2025-02-26,Search,Member,Midwest
C00105,2024-10-07,Loyalty,Silver,Midwest
