sku_id,category,subcategory,season,unit_cost,list_price
SKU001,Apparel,Bottoms,FW,10.5,25.2
SKU002,Apparel,Outerwear,Core,13.0,31.2
SKU003,Accessories,Bags,SS,15.5,37.2
SKU004,Footwear,Sneakers,FW,18.0,43.2
SKU005,Apparel,Tops,Core,20.5,49.2
SKU006,Apparel,Bottoms,SS,23.0,55.2
SKU007,Apparel,Outerwear,FW,25.5,61.2
SKU008,Accessories,Bags,Core,28.0,67.2
SKU009,Footwear,Sneakers,SS,30.5,73.2
SKU010,Apparel,Tops,FW,33.0,79.2
SKU011,Apparel,Bottoms,Core,35.5,85.2
SKU012,Apparel,Outerwear,SS,38.0,91.2
SKU013,Accessories,Bags,FW,40.5,97.2
SKU014,Footwear,Sneakers,Core,43.0,103.2
SKU015,Apparel,Tops,SS,45.5,109.2
SKU016,Apparel,Bottoms,FW,48.0,115.2
SKU017,Apparel,Outerwear,Core,50.5,121.2
SKU018,Accessories,Bags,SS,53.0,127.2
SKU019,Footwear,Sneakers,FW,55.5,133.2
SKU020,Apparel,Tops,Core,8.0,19.2
SKU021,Apparel,Bottoms,SS,10.5,25.2
SKU022,Apparel,Outerwear,FW,13.0,31.2
SKU023,Accessories,Bags,Core,15.5,37.2
SKU024,Footwear,Sneakers,SS,18.0,43.2
SKU025,Apparel,Tops,FW,20.5,49.2
SKU026,Apparel,Bottoms,Core,23.0,55.2
SKU027,Apparel,Outerwear,SS,25.5,61.2
SKU028,Accessories,Bags,FW,28.0,67.2
SKU029,Footwear,Sneakers,Core,30.5,73.2
SKU030,Apparel,Tops,SS,33.0,79.2
SKU031,Apparel,Bottoms,FW,35.5,85.2
SKU032,Apparel,Outerwear,Core,38.0,91.2
SKU033,Accessories,Bags,SS,40.5,97.2
SKU034,Footwear,Sneakers,FW,43.0,103.2
SKU035,Apparel,Tops,Core,45.5,109.2
SKU036,Apparel,Bottoms,SS,48.0,115.2
SKU037,Apparel,Outerwear,FW,50.5,121.2
SKU038,Accessories,Bags,Core,53.0,127.2
SKU039,Footwear,Sneakers,SS,55.5,133.2
SKU040,Apparel,Tops,FW,8.0,19.2
SKU041,Apparel,Bottoms,Core,10.5,25.2
SKU042,Apparel,Outerwear,SS,13.0,31.2
SKU043,Accessories,Bags,FW,15.5,37.2
SKU044,Footwear,Sneakers,Core,18.0,43.2
SKU045,Apparel,Tops,SS,20.5,49.2
SKU046,Apparel,Bottoms,FW,23.0,55.2
SKU047,Apparel,Outerwear,Core,25.5,61.2
SKU048,Accessories,Bags,SS,28.0,67.2
SKU049,Footwear,Sneakers,FW,30.5,73.2
SKU050,Apparel,Tops,Core,33.0,79.2
