store_id,region,format,square_footage,open_date
ST001,Northeast,suburban,4250,2016-03-21
ST002,Southeast,outlet,4500,2016-06-09
ST003,Midwest,flagship,4750,2016-08-28
ST004,West,suburban,5000,2016-11-16
ST005,Northeast,outlet,5250,2017-02-04
ST006,Southeast,flagship,5500,2017-04-25
ST007,Midwest,suburban,5750,2017-07-14
ST008,West,outlet,6000,2017-10-02
ST009,Northeast,flagship,6250,2017-12-21
ST010,Southeast,suburban,6500,2018-03-11
ST011,Midwest,outlet,6750,2018-05-30
ST012,West,flagship,7000,2018-08-18
ST013,Northeast,suburban,7250,2018-11-06
ST014,Southeast,outlet,7500,2019-01-25
ST015,Midwest,flagship,7750,2019-04-15
ST016,West,suburban,8000,2019-07-04
ST017,Northeast,outlet,8250,2019-09-22
ST018,Southeast,flagship,8500,2019-12-11
ST019,Midwest,suburban,8750,2020-02-29
ST020,West,outlet,9000,2020-05-19
