campaign_id,activity_date,spend,impressions,clicks,attributed_revenue,channel
CMP001,2026-01-06,4411.69,350612,4817,10248.78,Email
CMP001,2026-01-13,4411.69,218749,6144,10248.78,Email
CMP001,2026-01-20,4411.69,155373,3274,10248.78,Email
CMP001,2026-01-27,4411.69,228790,8604,10248.78,Email
CMP001,2026-02-03,4411.69,149393,6622,10248.78,Email
CMP001,2026-02-10,4411.69,285581,4585,10248.78,Email
CMP001,2026-02-17,4411.69,141359,8589,10248.78,Email
CMP001,2026-02-24,4411.69,257018,1866,10248.78,Email
CMP002,2026-01-06,11133.55,124021,5152,25997.5,Loyalty
CMP002,2026-01-13,11133.55,374763,4867,25997.5,Loyalty
CMP002,2026-01-20,11133.55,351288,11639,25997.5,Loyalty
CMP002,2026-01-27,11133.55,185025,5000,25997.5,Loyalty
CMP002,2026-02-03,11133.55,197189,9683,25997.5,Loyalty
CMP002,2026-02-10,11133.55,205688,11452,25997.5,Loyalty
CMP002,2026-02-17,11133.55,235100,7346,25997.5,Loyalty
CMP002,2026-02-24,11133.55,35027,545,25997.5,Loyalty
CMP003,2026-01-06,3366.39,65210,1919,5917.13,Search
CMP003,2026-01-13,3366.39,335083,7177,5917.13,Search
CMP003,2026-01-20,3366.39,357394,2655,5917.13,Search
CMP003,2026-01-27,3366.39,99790,8535,5917.13,Search
CMP003,2026-02-03,3366.39,98557,4013,5917.13,Search
CMP003,2026-02-10,3366.39,294024,6567,5917.13,Search
CMP003,2026-02-17,3366.39,327780,8126,5917.13,Search
CMP003,2026-02-24,3366.39,160014,11655,5917.13,Search
CMP004,2026-01-06,2288.5,253319,3802,3367.93,Paid Social
CMP004,2026-01-13,2288.5,224775,9089,3367.93,Paid Social
CMP004,2026-01-20,2288.5,141505,9166,3367.93,Paid Social
CMP004,2026-01-27,2288.5,212754,11182,3367.93,Paid Social
CMP004,2026-02-03,2288.5,49021,9917,3367.93,Paid Social
CMP004,2026-02-10,2288.5,190311,11527,3367.93,Paid Social
CMP004,2026-02-17,2288.5,350815,7788,3367.93,Paid Social
CMP004,2026-02-24,2288.5,31259,9992,3367.93,Paid Social
CMP005,2026-01-06,2985.21,395461,10305,3109.86,Display
CMP005,2026-01-13,2985.21,320724,1793,3109.86,Display
CMP005,2026-01-20,2985.21,233064,11589,3109.86,Display
CMP005,2026-01-27,2985.21,209116,943,3109.86,Display
CMP005,2026-02-03,2985.21,305000,2259,3109.86,Display
CMP005,2026-02-10,2985.21,56507,3496,3109.86,Display
CMP005,2026-02-17,2985.21,235934,11756,3109.86,Display
CMP005,2026-02-24,2985.21,156116,715,3109.86,Display
CMP006,2026-01-06,3465.62,349444,4526,8843.56,Email
CMP006,2026-01-13,3465.62,314635,4856,8843.56,Email
CMP006,2026-01-20,3465.62,118995,8163,8843.56,Email
CMP006,2026-01-27,3465.62,262954,955,8843.56,Email
CMP006,2026-02-03,3465.62,28176,11721,8843.56,Email
CMP006,2026-02-10,3465.62,240186,3229,8843.56,Email
CMP006,2026-02-17,3465.62,275335,9745,8843.56,Email
CMP006,2026-02-24,3465.62,193392,11225,8843.56,Email
CMP007,2026-01-06,6908.12,85071,5395,16341.56,Loyalty
CMP007,2026-01-13,6908.12,115023,10130,16341.56,Loyalty
CMP007,2026-01-20,6908.12,206331,4579,16341.56,Loyalty
CMP007,2026-01-27,6908.12,169466,10444,16341.56,Loyalty
CMP007,2026-02-03,6908.12,223003,7408,16341.56,Loyalty
CMP007,2026-02-10,6908.12,322030,5795,16341.56,Loyalty
CMP007,2026-02-17,6908.12,173974,2664,16341.56,Loyalty
CMP007,2026-02-24,6908.12,64325,11814,16341.56,Loyalty
CMP008,2026-01-06,5878.79,205455,7529,11911.43,Search
CMP008,2026-01-13,5878.79,88383,8176,11911.43,Search
CMP008,2026-01-20,5878.79,199723,3161,11911.43,Search
CMP008,2026-01-27,5878.79,282400,527,11911.43,Search
CMP008,2026-02-03,5878.79,26281,2239,11911.43,Search
CMP008,2026-02-10,5878.79,237530,1495,11911.43,Search
CMP008,2026-02-17,5878.79,359927,7720,11911.43,Search
CMP008,2026-02-24,5878.79,127318,4838,11911.43,Search
CMP009,2026-01-06,4136.84,169194,11821,6724.79,Paid Social
CMP009,2026-01-13,4136.84,187208,9985,6724.79,Paid Social
CMP009,2026-01-20,4136.84,116534,4237,6724.79,Paid Social
CMP009,2026-01-27,4136.84,184125,11445,6724.79,Paid Social
CMP009,2026-02-03,4136.84,81626,7105,6724.79,Paid Social
CMP009,2026-02-10,4136.84,393082,3887,6724.79,Paid Social
CMP009,2026-02-17,4136.84,308779,4134,6724.79,Paid Social
CMP009,2026-02-24,4136.84,105095,7323,6724.79,Paid Social
