snapshot_date,store_id,sku_id,on_hand_units
2026-06-30,ST001,SKU001,25
2026-06-30,ST001,SKU002,51
2026-06-30,ST001,SKU003,60
2026-06-30,ST001,SKU004,32
2026-06-30,ST001,SKU005,34
2026-06-30,ST001,SKU006,5
2026-06-30,ST001,SKU007,8
2026-06-30,ST001,SKU008,63
2026-06-30,ST001,SKU009,37
2026-06-30,ST001,SKU010,9
2026-06-30,ST001,SKU011,52
2026-06-30,ST001,SKU012,33
2026-06-30,ST001,SKU013,46
2026-06-30,ST001,SKU014,15
2026-06-30,ST001,SKU015,59
2026-06-30,ST001,SKU016,69
2026-06-30,ST001,SKU017,47
2026-06-30,ST001,SKU018,22
2026-06-30,ST001,SKU019,23
2026-06-30,ST001,SKU020,38
2026-06-30,ST002,SKU001,63
2026-06-30,ST002,SKU002,55
2026-06-30,ST002,SKU003,65
2026-06-30,ST002,SKU004,51
2026-06-30,ST002,SKU005,19
2026-06-30,ST002,SKU006,20
2026-06-30,ST002,SKU007,47
2026-06-30,ST002,SKU008,75
2026-06-30,ST002,SKU009,29
2026-06-30,ST002,SKU010,65
2026-06-30,ST002,SKU011,77
2026-06-30,ST002,SKU012,79
2026-06-30,ST002,SKU013,7
2026-06-30,ST002,SKU014,11
2026-06-30,ST002,SKU015,49
2026-06-30,ST002,SKU016,30
2026-06-30,ST002,SKU017,55
2026-06-30,ST002,SKU018,56
2026-06-30,ST002,SKU019,80
2026-06-30,ST002,SKU020,30
2026-06-30,ST003,SKU001,28
2026-06-30,ST003,SKU002,21
2026-06-30,ST003,SKU003,67
2026-06-30,ST003,SKU004,59
2026-06-30,ST003,SKU005,33
2026-06-30,ST003,SKU006,31
2026-06-30,ST003,SKU007,37
2026-06-30,ST003,SKU008,20
2026-06-30,ST003,SKU009,23
2026-06-30,ST003,SKU010,72
2026-06-30,ST003,SKU011,49
2026-06-30,ST003,SKU012,55
2026-06-30,ST003,SKU013,24
2026-06-30,ST003,SKU014,70
2026-06-30,ST003,SKU015,33
2026-06-30,ST003,SKU016,63
2026-06-30,ST003,SKU017,21
2026-06-30,ST003,SKU018,32
2026-06-30,ST003,SKU019,67
2026-06-30,ST003,SKU020,26
2026-06-30,ST004,SKU001,27
2026-06-30,ST004,SKU002,47
2026-06-30,ST004,SKU003,78
2026-06-30,ST004,SKU004,30
2026-06-30,ST004,SKU005,17
2026-06-30,ST004,SKU006,8
2026-06-30,ST004,SKU007,33
2026-06-30,ST004,SKU008,33
2026-06-30,ST004,SKU009,64
2026-06-30,ST004,SKU010,10
2026-06-30,ST004,SKU011,4
2026-06-30,ST004,SKU012,73
2026-06-30,ST004,SKU013,78
2026-06-30,ST004,SKU014,43
2026-06-30,ST004,SKU015,22
2026-06-30,ST004,SKU016,30
2026-06-30,ST004,SKU017,36
