transaction_id,sale_date,store_id,customer_id,sku_id,units,net_revenue,discount_amount,cost,channel,campaign_id
T0000001,2025-01-01,ST020,C00259,SKU034,1,118.68,0.0,43.0,Store,
T0000002,2025-01-01,ST018,C00221,SKU047,1,53.86,0.0,25.5,Ecom,
T0000003,2025-01-01,ST013,C00161,SKU027,1,68.54,0.0,25.5,Store,
T0000004,2025-01-01,ST016,,SKU005,1,54.12,2.46,20.5,Store,CMP024
T0000005,2025-01-01,ST005,,SKU036,3,352.51,34.56,144.0,Store,
T0000006,2025-01-01,ST012,C00217,SKU043,2,85.56,0.0,31.0,Store,
T0000007,2025-01-02,ST012,C00109,SKU007,1,67.32,3.06,25.5,Store,CMP004
T0000008,2025-01-02,ST018,,SKU024,1,38.02,0.0,18.0,Ecom,
T0000009,2025-01-02,ST020,C00286,SKU040,1,22.08,0.0,8.0,Store,CMP009
T0000010,2025-01-02,ST010,C00093,SKU022,2,48.67,6.24,26.0,Store,
T0000011,2025-01-02,ST001,C00111,SKU006,1,59.06,2.76,23.0,Store,
T0000012,2025-01-02,ST011,C00044,SKU050,2,145.73,0.0,66.0,Store,CMP020
T0000013,2025-01-03,ST003,C00218,SKU018,1,110.66,6.36,53.0,Store,
T0000014,2025-01-03,ST017,C00057,SKU008,1,68.54,6.72,28.0,Store,
T0000015,2025-01-03,ST002,C00029,SKU015,1,96.1,0.0,45.5,Ecom,
T0000016,2025-01-03,ST009,C00004,SKU019,1,142.52,6.66,55.5,Store,CMP013
T0000017,2025-01-03,ST008,C00182,SKU033,1,111.78,0.0,40.5,Store,
T0000018,2025-01-03,ST003,C00294,SKU021,1,21.92,1.26,10.5,Store,
T0000019,2025-01-04,ST011,C00236,SKU011,2,156.77,0.0,71.0,Store,CMP004
T0000020,2025-01-04,ST019,C00203,SKU026,2,101.57,0.0,46.0,Store,CMP006
T0000021,2025-01-04,ST004,C00179,SKU034,1,118.68,0.0,43.0,Store,CMP005
T0000022,2025-01-04,ST006,C00039,SKU039,1,110.56,6.66,55.5,Store,
T0000023,2025-01-04,ST019,C00290,SKU029,1,60.02,7.32,30.5,Ecom,
T0000024,2025-01-04,ST011,C00241,SKU010,1,72.86,0.0,33.0,Store,
T0000025,2025-01-04,ST012,,SKU033,1,111.78,0.0,40.5,Store,CMP010
T0000026,2025-01-04,ST003,C00197,SKU040,1,15.74,1.92,8.0,Ecom,
T0000027,2025-01-04,ST002,C00293,SKU029,1,64.42,0.0,30.5,Store,
T0000028,2025-01-04,ST002,,SKU029,2,128.83,0.0,61.0,Store,
T0000029,2025-01-05,ST006,C00225,SKU003,3,87.05,11.16,46.5,Store,
T0000030,2025-01-05,ST012,C00174,SKU019,1,153.18,0.0,55.5,Store,
T0000031,2025-01-05,ST003,,SKU022,1,28.7,0.0,13.0,Ecom,CMP022
T0000032,2025-01-05,ST020,C00299,SKU010,1,91.08,0.0,33.0,Store,
T0000033,2025-01-05,ST013,C00044,SKU009,1,78.32,3.66,30.5,Store,
T0000034,2025-01-05,ST005,C00270,SKU043,1,39.8,1.86,15.5,Store,
T0000035,2025-01-05,ST010,C00175,SKU012,3,227.09,13.68,114.0,Store,CMP005
T0000036,2025-01-05,ST010,C00277,SKU007,2,95.47,12.24,51.0,Ecom,CMP011
T0000037,2025-01-05,ST020,C00079,SKU009,1,76.86,7.32,30.5,Store,
T0000038,2025-01-05,ST015,C00122,SKU003,3,91.51,11.16,46.5,Ecom,
T0000039,2025-01-06,ST015,C00159,SKU015,3,285.01,16.38,136.5,Store,
T0000040,2025-01-06,ST019,C00145,SKU029,2,120.05,14.64,61.0,Ecom,
T0000041,2025-01-06,ST007,C00129,SKU039,1,115.88,6.66,55.5,Store,
T0000042,2025-01-06,ST004,C00064,SKU046,1,63.48,0.0,23.0,Store,CMP017
